title, imdb_rating
The Brothers Grimm,5.9/10
The Bucket List,7.4/10
The Bund,6.4/10
The Burial of Kojo,6.5/10
The Business of Drugs,7.2/10
The Bye Bye Man,4.2/10
The Bygone,5.7/10
The C Word,7.6/10
The Cabin with Bert Kreischer,7.1/10
The Cakemaker,7.3/10
The Call,6.7/10
The Calling,5.8/10
The Captive,5.9/10
Who Killed the Electric Car?,7.6/10
12 Years Promise,7.3/10
Atypical,8.3/10
The Car: Road to Revenge,4.0/10
The Carter Effect,7.1/10
The Case for Christ,6.3/10
The Casketeers,7.5/10
The Cat in the Hat Knows a Lot About That!,6.5/10
The Cell,6.3/10
The CEO,6.2/10
The Chalet,7.0/10
The Challenge,5.3/10
The Charnel House,4.4/10
The Chase,5.8/10
The Chef Show,8.2/10
The Chefs Line,7.0/10
The Final Chord,6.8/10
The Chosen,9.7/10
The Chosen One,4.5/10
The Chosen Ones,6.8/10
The Christmas Candle,6.2/10
The Christmas Chronicles,7.0/10
Aunty Donna's Big Ol' House of Fun,8.1/10
The Christmas Chronicles: Part Two,6.0/10
The Christmas Project,5.4/10
The Cincinnati Kid,7.3/10
Kingsman: The Golden Circle,6.7/10
The Circle: Brazil,6.8/10
The Clapper,5.1/10
The Claudia Kishi Club,6.9/10
The Climb,6.9/10
The Cloverfield Paradox,5.5/10
Aurora,6.0/10
The Breakfast Club,7.8/10
The Da Vinci Code,6.6/10
The Coldest Game,6.2/10
The Comedy Lineup,5.9/10
The Command,6.6/10
The Company Men,6.7/10
The Competition,6.7/10
The Con Is On,4.0/10
The Confession Killer,7.4/10
The Confession Tapes,7.5/10
The Confirmation,6.4/10
American Ninja 2: The Confrontation,4.9/10
The Congress,6.5/10
The Conjuring,7.5/10
The Craft,6.4/10
The Cravings,7.3/10
The Creative Brain,6.3/10
The Creative Indians,8.4/10
Aussie Gold Hunters,7.0/10
The Crew,5.7/10
Inside Look: The People v. O.J. Simpson - American Crime Story,8.4/10
The Crimes That Bind,6.8/10
The Croods,7.2/10
The Crow,7.6/10
The Crown,8.6/10
The Cruise,7.6/10
The Crying Game,7.2/10
The Crystal Calls - Making the Dark Crystal: Age of Resistance,7.6/10
The Cuba Libre Story,7.7/10
Austin Powers in Goldmember,6.2/10
The Curious Creations of Christine McConnell,7.8/10
The Curse of Oak Island,7.1/10
The D Train,5.0/10
The Da Vinci Code,6.6/10
The Damned Rain,7.4/10
Dancer in the Dark,8.0/10
The Danish Girl,7.1/10
The Dark Crystal,7.2/10
The Dark Crystal: Age of Resistance,8.4/10
The Dark Side of Life: Mumbai City,5.9/10
Austin Powers: International Man of Mystery,7.0/10
The Darkest Dawn,4.1/10
The Ghost and the Darkness,6.8/10
The General's Daughter,6.4/10
The Dawn Wall,8.1/10
The Day I Met El Chapo: The Kate Del Castillo Story,6.9/10
The Day My Butt Went Psycho!,3.1/10
The Day Will Come,7.9/10
The Art Dealer,5.8/10
The Death and Life of Marsha P. Johnson,7.3/10
Austin Powers: The Spy Who Shagged Me,6.6/10
The Death of Mr. Lazarescu,7.9/10
The Death of Stalin,7.2/10
The Debt Collector,5.8/10
The Decline,5.9/10
The Deep Blue Sea,6.2/10
The Defected,7.2/10
The Degenerates,6.2/10
The Delivery Boy,6.2/10
The Departed,8.5/10
Autohead,5.9/10
The Desert Bride,6.4/10
Detained in the Desert,6.9/10
The Devil All the Time,7.1/10
The Devil and Father Amorth,4.6/10
The Devil Inside,4.2/10
The Devil Is a Part-Timer!,7.7/10
The Devil Next Door,7.6/10
The Devil Punisher,5.9/10
The Devil We Know,7.7/10
The Devil's Mistress,4.1/10
Autómata,6.1/10
Evil Genius: The True Story of America's Most Diabolical Bank Heist,7.5/10
The Dirt,7.0/10
The Disappearance of Madeleine McCann,6.6/10
The Disaster Artist,7.4/10
The Disastrous Life of Saiki K.,8.3/10
The Disastrous Life of Saiki K.: Reawakened,7.9/10
The Discovery,6.3/10
The Do-Over,5.7/10
The Devil-Doll,7.0/10
Autumn's Concerto,8.0/10
The Doll 2,5.3/10
The Dragon Prince,8.4/10
The Dream Job,6.1/10
The Dreamer of Oz,7.3/10
The Drowning Pool,6.5/10
The Drunk and on Drugs Happy Funtime Hour,5.1/10
The Duchess,6.9/10
The Duel,5.8/10
Ava,5.4/10
The Dukes of Hazzard,5.1/10
The Dukes of Hazzard: The Beginning,4.5/10
The Eddy,7.2/10
The Edge of Democracy,7.2/10
The Edge of Seventeen,7.3/10
The Eichmann Show,6.5/10
The Eighties,8.3/10
The Emigrant,6.6/10
Pirates of the Caribbean: At World's End,7.1/10
Avatar: The Last Airbender,9.3/10
Neon Genesis Evangelion: The End of Evangelion,8.1/10
The End of the F***ing World,8.1/10
The End of the Tour,7.3/10
The Endless,6.5/10
The English Game,7.6/10
The Epic Tales of Captain Underpants,6.7/10
The Epic Tales of Captain Underpants in Space,7.3/10
The Evil Dead,7.5/10
The Exception,6.8/10
Ave Maryam,7.1/10
The Expanding Universe of Ashley Garcia,6.9/10
The Eyes of My Mother,6.2/10
The F**k-It List,5.1/10
The Addams Family,6.9/10
Fear the Walking Dead,6.9/10
The Fear of 13,7.6/10
The Feels,5.1/10
The Fierce Wife Final Episode,4.8/10
The Fighter,7.8/10
Avengement,6.6/10
The Final Destination,5.2/10
The Final Table,7.7/10
The First Line,4.9/10
The First Temptation of Christ,4.6/10
The First Wives Club,6.4/10
The Hobbit: The Battle of the Five Armies,7.4/10
The Yes Men Fix the World,7.6/10
Avengers: Infinity War,8.4/10
The Flash,7.6/10
The Flintstones,4.9/10
The Flintstones in Viva Rock Vegas,3.7/10
The Florida Project,7.6/10
Master of the Flying Guillotine,7.4/10
The Forbidden Kingdom,6.6/10
Star Wars: Episode VII - The Force Awakens,7.8/10
The Foreigner,7.0/10
The Forest,4.8/10
The Forest of Love: Deep Cut,6.8/10
Avicii: True Stories,7.6/10
The Forest of Love: Deep Cut,6.8/10
The Forgotten,5.8/10
The Forty-Year-Old Version,7.2/10
The Fosters,7.9/10
The Founder,7.2/10
The Frankenstein Chronicles,7.3/10
The Frozen Dead,5.1/10
The Frozen Ground,6.4/10
The Fundamentals of Caring,7.3/10
Await Further Instructions,4.8/10
The Furchester Hotel,7.3/10
The Future of Water,7.7/10
The Imitation Game,8.0/10
The Game Changers,7.9/10
The Garfield Show,5.4/10
The Gathering,6.6/10
The Gentleman Driver,6.3/10
The Get Down,8.3/10
Awake,6.5/10
The Ghost and the Tout,3.7/10
The Ghost Bride,6.0/10
The Ghost Who Walks,5.4/10
The Iron Giant,8.0/10
The Gift,7.0/10
The Girl from the Song,5.6/10
The Girl with the Dragon Tattoo,7.8/10
The Chemical Brothers: The Golden Path,7.7/10
The Golden Years with Javed Akhtar,6.5/10
13 Reasons Why,7.6/10
Awake: The Million Dollar Game,6.0/10
The Limehouse Golem,6.3/10
The Good Catholic,5.3/10
The Good Cop,7.0/10
The Good Detective,7.5/10
The Good Neighbor,6.3/10
The Good Place,8.2/10
The Visual Bible: The Gospel of John,7.8/10
Spirited Away,8.6/10
The Gospel of Luke,7.1/10
The Gospel of Mark,8.0/10
The Gospel of Matthew,8.1/10
Vali - The Governor,7.4/10
The Grand Grandmaster,4.4/10
The Great Battle,8.1/10
Away from Home,6.2/10
The Great Gambler,6.5/10
The Great Hack,7.1/10
The Great Heist,7.3/10
The Next Great Magician,6.0/10
The Great Raid,6.7/10
The Great Train Robbery,7.3/10
The Green Hornet,5.8/10
The Green Inferno,5.3/10
The Guernsey Literary and Potato Peel Pie Society,7.4/10
Shock and Awe,6.3/10
The Guest,6.7/10
The Guild,8.2/10
The Half of It,6.9/10
The Happytime Murders,5.4/10
The Hard Way,6.4/10
The Hateful Eight,7.8/10
The Woman Hater,6.1/10
The Hatred,3.6/10
The Haunted Hathaways,5.3/10
Axone,7.0/10
The Haunting of Bly Manor,7.4/10
The Haunting of Hill House,8.6/10
The Haunting of Molly Hartley,3.9/10
The Healer,6.3/10
The Healing Powers of Dude,6.6/10
The Heartbreak Kid,5.8/10
The Heat: A Kitchen (R)evolution,6.3/10
The Help,8.0/10
The Heretics,4.7/10
Ayana,7.7/10
Evil - In the Time of Heroes,5.6/10
The Heyday of the Insensitive Bastards,4.4/10
The Highwaymen,6.9/10
The History of Future Folk,7.2/10
The Holiday Calendar,5.7/10
The Holiday Movies that Made Us,7.1/10
The Wolf of Snow Hollow,6.2/10
The Hollow Point,5.4/10
The Hollywood Masters,7.2/10
The Holy Man 2,5.4/10
Stomp the Yard 2: Homecoming,4.3/10
The Honeymoon Stand-up Special,6.9/10
The House Next Door,6.8/10
The House of Flowers: The Movie,5.5/10
The House on Coco Road,7.2/10
The House That Made Me,6.1/10
The Hows of Us,7.3/10
Azali,5.6/10
The Humanity Bureau,4.6/10
The Hummingbird Project,6.2/10
The Hundred-Foot Journey,7.3/10
The Hunt,8.3/10
The Hurricane Heist,5.1/10
The Hurt Business,6.5/10
The I-Land,4.6/10
The Iliza Shlesinger Sketch Show,4.9/10
Azhar,5.7/10
The Imaginarium of Doctor Parnassus,6.8/10
The Impossible,7.6/10
The In-Laws,5.7/10
The InBESTigators,8.1/10
The Inbetweeners,8.4/10
The Dyatlov Pass Incident,5.7/10
The Incredible Jessica James,6.5/10
The Indian Detective,6.5/10
The Indian in the Cupboard,6.0/10
A Woman Under the Influence,8.2/10
The Informant!,6.4/10
Inmate #1: The Rise of Danny Trejo,7.8/10
The Innocence Files,8.0/10
The Innocent Man,7.3/10
The Innocents,7.8/10
The Intent,4.4/10
The Intent 2: The Come Up,3.9/10
13 Reasons Why: Beyond the Reasons,7.9/10
Aziz Ansari: Buried Alive,7.3/10
The Interview,6.5/10
The Intouchables,8.5/10
The Invention of Lying,6.4/10
The Investigator: A British Crime Story,5.7/10
The Invisible Guardian,6.4/10
The Invitation,6.6/10
Paddy Whacked: The Irish Mob,8.3/10
The Irishman,7.8/10
The Irishman: In Conversation,7.4/10
Aziz Ansari: Right Now,7.5/10
The Iron Lady,6.4/10
The Island,6.8/10
The IT Crowd,8.5/10
The Ivory Game,7.9/10
The Jane Austen Book Club,6.8/10
The Joel McHale Show with Joel McHale,7.2/10
The Journey Is the Destination,6.3/10
B: The Beginning,7.2/10
The Judgement,7.1/10
The Jungle Book,7.4/10
The Files of Young Kindaichi -Jungle School Murder Mystery-,6.9/10
The K2,7.8/10
The Karate Kid,7.3/10
The Keepers,8.1/10
The Keeping Hours,6.4/10
Ichi the Killer,7.0/10
The Killing of a Sacred Deer,7.0/10
The Kindergarten Teacher,6.7/10
B.A. Pass,6.4/10
The Kindness Diaries,8.1/10
The Lord of the Rings: The Return of the King,8.9/10
The King's Avatar,8.2/10
The King's Speech,8.0/10
The Kissing Booth,6.0/10
The Kissing Booth 2,5.8/10
The Kite Runner,7.6/10
The Knight Before Christmas,5.5/10
B.A. Pass 2,2.1/10
The Kominsky Method,8.2/10
The L Word,7.6/10
The Lady in Dignity,7.6/10
The Lake House,6.8/10
The Other Lamb,5.2/10
Land of the Dead,6.2/10
The Land of Hypocrisy,6.6/10
The Land of Steady Habits,6.2/10
The Land of the Enlightened,7.1/10
Baadshaho,4.9/10
The Larva Island Movie,5.1/10
Avatar: The Last Airbender,9.3/10
The Last Boy Scout,7.0/10
The Last Czars,7.3/10
The Last Dance,9.1/10
The Last Days of American Crime,3.7/10
The Last Days of Chez Nous,6.6/10
The Last Exorcism,5.6/10
The Last Face,4.9/10
Baaghi 3,2.1/10
The Last Hour,7.6/10
The Last Kids on Earth,7.4/10
The Last Kingdom,8.4/10
The Last Laugh,5.6/10
The Last Man on the Moon,7.4/10
The Last O.G.,6.9/10
The Last Resort,3.0/10
The Last Shaman,6.6/10
The Last Summer,5.6/10
The Last Thing He Wanted,4.3/10
The Last Whistle,5.1/10
The Last Word,6.6/10
The Late Bloomer,5.2/10
The Laundromat,6.3/10
The Laws of Thermodynamics,6.1/10
The Legacy of a Whitetail Deer Hunter,5.5/10
The Legacy of the Bones,6.3/10
The Legend of 420,6.7/10
The Legend of Bhagat Singh,8.1/10
The Legend of Bruce Lee,7.6/10
The Legend of Cocaine Island,6.3/10
The Legend of Korra,8.4/10
The Legend of Michael Mishra,4.4/10
The Legend of White Snake,7.6/10
The Letdown,7.5/10
The Letter for the King,5.9/10
The Letter Reader,6.7/10
The Good Liar,6.6/10
The Liberator,7.6/10
The Life Ahead,6.8/10
The Lift Boy,7.2/10
13 Sins,6.3/10
The Little Hours,5.8/10
The Little Mermaid,7.6/10
The Little Nyonya,6.9/10
The Little Prince,7.7/10
The Little Vampire,5.8/10
The Lives of Others,8.4/10
The Lizzie Borden Chronicles,7.0/10
The Lobster,7.2/10
The Lodgers,5.1/10
The Long Dumb Road,6.1/10
The Long Goodbye-The Kara Tippetts Story,7.9/10
The Longest Yard,6.4/10
The Longshots,5.4/10
The Look of Silence,8.3/10
The Lord of the Rings: The Return of the King,8.9/10
The Lord of the Rings: The Two Towers,8.7/10
The Lost Brother,6.5/10
The Lost Husband,6.1/10
The Lost Okoroshi,5.5/10
The Love Guru,3.8/10
The Lovebirds,6.1/10
The Lovers on the Bridge,7.6/10
A Lynx in the Town,6.7/10
Rasputin: The Mad Monk,6.2/10
The Magic Pill,7.1/10
The Magic School Bus,7.8/10
The Magic School Bus Rides Again,6.2/10
The Magic School Bus Rides Again in the Zone,6.1/10
The Magic School Bus Rides Again: Kids in Space,6.2/10
The Magic School Bus Rides Again: The Frizz Connection,5.1/10
The Magicians,7.6/10
The Main Event,5.6/10
The Man Who Would Be Polka King,6.2/10
Baazaar,6.6/10
The Haunted Mansion,5.1/10
The Married Couples,8.1/10
The Mars Generation,6.4/10
The Mask of Zorro,6.8/10
The Massively Mixed-Up Middle School Mystery,7.2/10
Master and Commander: The Far Side of the World,7.4/10
The Stationmaster Meets His Match,8.3/10
The Matrix,8.7/10
Babam ve Oglum,8.3/10
The Matrix Reloaded,7.2/10
The Matrix Revolutions,6.7/10
The Maus,4.7/10
Tom Goes to the Mayor,6.6/10
Monty Python: The Meaning of Live,7.6/10
The Mechanism of Suspended Time,10.0/10
The Men Who Stare at Goats,6.2/10
Babamin Ceketi,4.9/10
The Messengers,5.4/10
The Kominsky Method,8.2/10
The Midas Touch,5.2/10
The Midnight Gospel,8.3/10
The Midnight Sky,5.6/10
The Milk System,7.1/10
Mother. In the Name of the Millions,8.9/10
The Mind of a Chef,8.0/10
Babel,7.4/10
The Minimalists: Less Is Now,5.9/10
The Minimighty Kids,6.2/10
The Minions of Midas,6.6/10
The Miracle Worker,8.1/10
Birds in the Mire,7.7/10
The Boy in the Mirror,6.1/10
The Mist,7.1/10
Muppet Babies,7.5/10
Elvira: Mistress of the Dark,6.6/10
The Model,5.8/10
The Monster Squad,7.0/10
The Monster of Mangatiti,6.2/10
The Mortified Guide,7.8/10
The Most Hated Woman in America,6.1/10
The Most Unknown,6.6/10
Million Dollar Baby,8.1/10
The Motive,6.5/10
The Movies That Made Us,7.8/10
The Muppets,7.1/10
The Murder Detectives,7.7/10
The Naked Director,7.7/10
The Naked Gun: From the Files of Police Squad!,7.6/10
The Natural,7.5/10
Friday the 13th,6.4/10
Baby Ballroom,7.8/10
The Negro Soldier,5.9/10
The Good Neighbor,6.3/10
The Netflix Afterparty,3.8/10
The New Legends of Monkey,6.5/10
The New Romantic,5.7/10
The Next Karate Kid,4.5/10
The Next Step,6.2/10
The Night Clerk,5.5/10
Baby Dolls,7.2/10
The Night Comes for Us,7.0/10
The Night Shift,7.4/10
The Naughty Nineties,7.1/10
The NSU-Complex,6.4/10
The Nut Job,5.7/10
The Nutcracker and the Four Realms,5.6/10
The OA,7.8/10
The Oath,5.5/10
The Occupant: prologue,6.4/10
Baby Mamas,6.5/10
The Old Guard,6.7/10
The One I Love,7.1/10
The Open House,3.2/10
Harry Potter and the Order of the Phoenix,7.5/10
The Original Kings of Comedy,6.9/10
The Originals,8.2/10
The Other Guys,6.6/10
Babylon Berlin,8.4/10
The Other Guys,6.6/10
The Other Side of the Wind,6.8/10
The Ottoman Lieutenant,6.5/10
The Outcasts,5.5/10
The Outpost,6.8/10
The Outsider,7.7/10
The Outsiders,7.1/10
The Package,5.5/10
The Panti Sisters,5.6/10
Bachelor Girls,7.1/10
The Paper,6.7/10
The Paramedic,5.6/10
The Parkers,6.8/10
The Parole Officer,6.4/10
The Dyatlov Pass Incident,5.7/10
The Peacemaker,6.0/10
The Pelican Brief,6.6/10
The Perfect Date,5.8/10
The Perfect Day,2.9/10
Foo Fighters: Back and Forth,8.3/10
The Perfect Match,4.9/10
The Perfect Picture: Ten Years Later,6.0/10
The Perfection,6.1/10
The Perks of Being a Wallflower,7.9/10
The Phantom of the Opera,7.2/10
The Pharmacist,7.7/10
The Physician,7.2/10
The Pink Panther,5.7/10
The Pirate Fairy,6.6/10
Back of the Net,5.2/10
The Pirates of Somalia,6.8/10
The Pirates! Band of Misfits: Starz/Encore Special,6.9/10
The Pixar Story,7.8/10
The Place Beyond the Pines,7.3/10
The Game Plan,6.1/10
The Platform,6.9/10
The Matchmaker's Playbook,6.4/10
The Player,7.5/10
The Players Club,5.9/10
The Polar Express,6.6/10
The Politician,7.5/10
The Polka King,5.9/10
Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,6.8/10
The President's Barber,7.0/10
The Price of Success,5.8/10
Harry Potter and the Half-Blood Prince,7.6/10
Back to 1989,8.4/10
The Princess and the Frog,7.1/10
The Princess Switch,6.0/10
The Princess Switch: Switched Again,5.4/10
The Stanford Prison Experiment,6.9/10
The Professor and the Madman,7.3/10
The Prom,5.9/10
The Promise,6.4/10
The Promised Neverland,8.5/10
The Protector,6.7/10
Back to School,6.7/10
The Pursuit of Happyness,8.0/10
The Pursuit of Happyness,8.0/10
Astronaut: The Last Push,5.4/10
The Pyramid Code,6.7/10
The Queen,7.3/10
The Queen and the Conqueror,6.5/10
The Queen's Gambit,8.6/10
The Rachel Divide,6.2/10
Singin' in the Rain,8.3/10
Back to the 90s,6.5/10
The Rainmaker,7.2/10
The Ranch,7.5/10
The Rap Game,5.7/10
The Rat Race,6.7/10
The Real Football Factories,7.6/10
The Real Miyagi,7.1/10
The Rebound,6.3/10
The Reconquest,6.6/10
The Red Sea Diving Resort,6.6/10
Back With the Ex,6.2/10
The Redeemed and the Dominant: Fittest on Earth,7.1/10
After the Rehearsal,7.3/10
The Reliant,3.6/10
The Remix: Hip Hop X Fashion,7.1/10
The Repair Shop,8.7/10
The Reservoir Game,6.0/10
The Returned,7.1/10
The Rezort,5.3/10
Backcountry,6.0/10
The Ridiculous 6,4.8/10
The Rift: Dark Side of the Moon,3.4/10
Let the Right One In,7.9/10
The Lord of the Rings: The Fellowship of the Ring,8.8/10
The Riot Club,6.0/10
The Ripper,7.1/10
The Ritual,6.3/10
The River Thief,5.3/10
The River Wild,6.4/10
Backdraft 2,4.8/10
The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,7.2/10
The Road to Love,6.6/10
The Roommate,4.8/10
The Rope Curse 2,4.8/10
The Rover,6.4/10
The Royal Bengal Tiger,6.9/10
The Royal Hibiscus Hotel,5.4/10
The Royal House of Windsor,7.3/10
Backfire,6.6/10
The Rugrats Movie,5.9/10
The Rum Diary,6.2/10
The Runaways,6.5/10
The Maze Runner,6.8/10
The Russian Revolution,6.5/10
Ognuno per sé,6.7/10
The Ryan White Story,7.3/10
The Saint,6.2/10
The Salvation,6.7/10
The Sapphires,7.0/10
Backtrack,6.0/10
The School Nurse Files,6.5/10
The School of Mischief,6.3/10
The Score,6.8/10
The Sea of Trees,6.1/10
Star Trek III: The Search for Spock,6.7/10
The Search for Life in Space,6.4/10
Kingsman: The Secret Service,7.7/10
The Secret Life of Pets 2,6.5/10
The Set-Up,7.9/10
The Seven Deadly Sins,8.0/10
Batman: Bad Blood,6.8/10
The Seven Five,7.6/10
The Seventies,8.3/10
The Shannara Chronicles,7.2/10
The Shaukeens,4.9/10
The Short Game,7.3/10
The Truman Show,8.1/10
The Siege of Jadotville,7.2/10
Bad Boy Billionaires: India,8.0/10
The Signal,6.1/10
The Silence of the Lambs,8.6/10
Silent Wings: The American Glider Pilots of World War II,7.9/10
The Similars,95%
The Sinking of Van Der Wijck,7.6/10
The Sinner,7.9/10
The Sky Is Pink,7.6/10
Bad Boys,6.9/10
The Sleepover,5.6/10
The Smurfs,5.4/10
The Smurfs 2,5.3/10
Sniffer the Investigation Officer,7.1/10
The Social Dilemma,7.6/10
The Social Network,7.7/10
The Guernsey Literary and Potato Peel Pie Society,7.4/10
Son of the Mask,2.2/10
The Sound of Your Heart Reboot,5.9/10
The Sound of Your Heart Reboot,5.9/10
Bad Boys II,6.6/10
The Space Between Us,6.4/10
The Spectacular Now,7.1/10
The Speed Cubers,7.4/10
The Spiderwick Chronicles,6.5/10
Spiral: From the Book of Saw,5.3/10
The Spooky Tale of Captain Underpants Hack-a-Ween,5.9/10
Austin Powers: The Spy Who Shagged Me,6.6/10
The Spy Next Door,5.5/10
The Spy Who Fell to Earth,6.6/10
The Square,7.2/10
Bad Day for the Cut,6.5/10
The Squid and the Whale,7.3/10
The Spiral Staircase,7.4/10
The Stand at Paxton County,6.4/10
The Standups,6.7/10
The Stanford Prison Experiment,6.9/10
The Stolen,5.3/10
The Story of God with Morgan Freeman,7.9/10
The Story of Us with Morgan Freeman,7.5/10
Stranded: I've Come from a Plane That Crashed on the Mountains,8.1/10
Pirates of the Caribbean: On Stranger Tides,6.6/10
Bad Education,7.1/10
Student of the Year 2,2.2/10
The Man in the White Suit,7.3/10
The Sunshine Makers,7.0/10
Dragon Ball Z: Broly - The Legendary Super Saiyan,7.5/10
The Super Mario Bros. Super Show!,6.2/10
The Super Parental Guardians,4.4/10
The Surgeon's Cut,8.4/10
The Surrounding Game,6.6/10
The Take,6.3/10
Bad Genius,7.7/10
The Taking of Pelham 123,6.4/10
The Talented Mr. Ripley,7.4/10
The Tenth Man,7.0/10
The Terminal,7.4/10
The Texas Chainsaw Massacre,6.2/10
The Theory of Everything,7.7/10
The Third Party,6.1/10
The Tiger Hunter,6.0/10
Bad Grandpa .5,6.3/10
The Tigers of Scotland,6.6/10
The Time Machine,6.0/10
The Time Traveler's Wife,7.1/10
The Titan,4.8/10
The Tourist,6.0/10
The Toys That Made Us,8.1/10
The Traffickers,7.2/10
The Parent Trap,6.5/10
Say Goodnight to the Bad Guys,7.9/10
The Trial of the Chicago 7,7.8/10
The Trial of the Chicago 7,7.8/10
The Trials of Gabriel Fernandez,8.2/10
The Tribe,7.0/10
The Tribes of Palos Verdes,5.8/10
The Trigger Effect,5.7/10
The Trip to Spain,6.6/10
Don't Trust the B---- in Apartment 23,7.3/10
The Ugly Truth,6.4/10
The Truth About Alcohol,6.8/10
Bad Guys: Vile City,8.0/10
The Truth Seekers,7.1/10
The Tudors,8.1/10
The Tuxedo,5.4/10
The Twelve Tasks of Asterix,7.7/10
The Twins Effect II,4.9/10
The Two Popes,7.6/10
The Ugly Truth,6.4/10
The Bourne Ultimatum,8.0/10
The Umbrella Academy,8.0/10
Bad Match,5.6/10
The Uncanny Counter,8.2/10
The Underclass,6.2/10
The Underwear Bomber: Detroit Plane Plot,5.3/10
The Last Unicorn,7.4/10
Across the Universe,7.3/10
The Unknown Girl,6.5/10
The Unknown Known,7.1/10
The Unlisted,6.6/10
Bad Rap,6.4/10
The Unmarried Wife,6.0/10
The Untamed,9.0/10
The Untold Tales of Armistead Maupin,7.4/10
The Valhalla Murders,7.1/10
The Vampire Diaries,7.7/10
The Vanished,5.7/10
The Vatican Tapes,4.8/10
The Vault,4.8/10
The Peanut Vendor,5.9/10
Bad Seeds,7.3/10
The Victims' Game,7.4/10
The Violin Player,6.9/10
The Visit,6.2/10
The Walking Dead,8.2/10
The Warning,5.9/10
The Water Diviner,7.0/10
Badalte Rishton Ki Dastaan,6.6/10
Starz Special: The Water Horse: Legend of the Deep,6.6/10
The Waterboy,6.1/10
The Wedding Curse,5.9/10
The Wedding Party,4.8/10
The Wedding Party 2: Destination Dubai,4.8/10
The Week Of,5.2/10
The West Wing,8.8/10
The White Helmets,7.5/10
The Who Was? Show,6.8/10
122,6.0/10
14 Cameras,4.6/10
Badha,7.0/10
The Wiggles,5.8/10
The Willoughbys,6.4/10
The Windsors,7.1/10
The Wishing Tree,6.2/10
The Witch Files,4.5/10
The Witcher,8.2/10
The Witcher: A Look Inside the Episodes,7.1/10
The Witness Who Didn't See Anything,8.3/10
Badla,7.8/10
The Womanizer,5.7/10
The Women Who Kill Lions,3.7/10
The Women's Balcony,6.6/10
The Cabin in the Woods,7.0/10
The Workshop,4.3/10
The World Is Not Enough,6.4/10
Scarface: The World Is Yours,8.3/10
The World We Make,5.3/10
The World's Most Extraordinary Homes,7.6/10
Badland,5.5/10
The Worst Witch,7.0/10
The Worthy,5.2/10
The Ghost Writer,7.2/10
The Wrong Babysitter,3.6/10
The Wrong Missy,5.7/10
The Longest Yard,6.4/10
The Year of Happiness and Love,5.2/10
The Young Messiah,5.7/10
The Young Offenders,7.1/10
The Zoya Factor,4.2/10
Theater of Life,6.6/10
No: 1 Sneha Theeram Bangalore North,5.9/10
Then Came You,7.0/10
Theo Von: No Offense,5.6/10
Theo Who Lived,6.8/10
There Will Be Blood,8.2/10
Baki,6.7/10
There's Something in the Water,6.7/10
They Are Everywhere,5.8/10
Black Hollywood: 'They've Gotta Have Us',7.6/10
Thiago Ventura: Pokas,6.8/10
ThirTEEN Terrors,6.9/10
This Is My Love,6.4/10
This Was Tomorrow: Tomorrowland Presents...,6.2/10
Thithi,8.2/10
Thomas & Friends: Dinos and Discoveries,7.3/10
Thong Dee Fun Khao,5.6/10
Thor: Ragnarok,7.9/10
Bakugan: Battle Planet,5.0/10
Thor: Tales of Asgard,6.3/10
Thorne: Sleepyhead,6.8/10
Thottappan,7.0/10
Three Words to Forever,7.4/10
Michael Jackson: Thriller,8.7/10
Bal Ganesh,6.8/10
Thug Life,2.5/10
Thumper,5.9/10
Thunderbolt and Lightfoot,7.1/10
Tidelands,7.0/10
Tidying Up with Marie Kondo,6.6/10
Tiffany Haddish Presents: They Ready,6.2/10
Tiffany Haddish: Black Mitzvah,6.2/10
Bala Loca,8.0/10
Tiffany Haddish: She Ready! From the Hood to Hollywood,6.7/10
Tig,7.4/10
Tig Notaro: Happy To Be Here,6.7/10
Tigertail,6.5/10
Tijuana Jackson: Purpose Over Prison,6.0/10
Tik Tok,5.5/10
Tikli and Laxmi Bomb,7.9/10
Til Death Do Us Part,4.6/10
Balto,7.1/10
Tim Allen: Men Are Pigs,6.2/10
Tim Allen Rewires America,5.9/10
Tim Minchin So F**king Rock,8.1/10
Out of Time,6.5/10
Time Gentlemen Please,7.7/10
Time Share,5.8/10
Time Trap,6.3/10
TIME: The Kalief Browder Story,8.5/10
14 Minutes from Earth,5.7/10
Timeline,5.6/10
Timmy Time,6.9/10
Tinker Bell and the Legend of the NeverBeast,7.2/10
Tinker Tailor Soldier Spy,7.1/10
Tiny Creatures,4.9/10
Tiny House Nation,7.1/10
Tiny Pretty Things,5.9/10
Tip the Mouse,6.8/10
Tjovitjo,6.3/10
To All the Boys: P.S. I Still Love You,6.0/10
To and from New York,5.6/10
To Be a Miss,6.3/10
To Be of Service,7.3/10
To Each Her Own,5.8/10
To the Bone,6.8/10
Return to Cabin by the Lake,4.3/10
Balu Mahi,6.3/10
Toast of London,8.2/10
Tobot,6.6/10
Toc Toc,6.8/10
Todd Barry: Spicy Honey,6.8/10
Todd Glass: Act Happy,5.0/10
Todo sobre el asado,6.6/10
The One Where They Get Back Together,8.2/10
Bana Masal Anlatma,7.4/10
Toilet - Ek Prem Katha,7.2/10
Tokyo Idols,6.9/10
Tokyo Trial,7.4/10
Toll Booth,8.1/10
Tom and Jerry: The Magic Ring,6.4/10
Tom Papa: Live in New York City,7.2/10
